"Product Version";"Official Name";"Product";"Product Line";"Product Category";"Add-On Product Version";"Current Status";"Restricted available (productive use not allowed)";"Restricted available (productive use allowed)";"Unrestricted available";"Readiness Status for SAP HANA";"Readiness Date for SAP HANA";"End of mainstream maintenance";"End of extended maintenance";"End of Priority-One Support";"End of SAP S/4HANA Cloud Safekeeper Service";"URL to Product Version in SAP Support Portal. Disclaimer: Please notice that always the online information on SAP Support Portal is the recent information!"
"SAP BW/4HANA 2023";"SAP BW/4HANA 2023";"SAP BW/4HANA";"SAP BW/4HANA";"Technology Platform";"No";"Unrestricted available";"";"30.10.2023";"30.10.2023";"Ready";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900007247";
"SAP S/4HANA 2021";"SAP S/4HANA 2021";"SAP S/4HANA";"SAP S/4HANA";"Enterprise Management";"No";"Unrestricted available";"";"13.10.2021";"13.10.2021";"Ready";"";"31.12.2026";"";"";"31.03.2029";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005134";
"SAP NETWEAVER 7.4";"SAP NetWeaver 7.4";"SAP NETWEAVER";"SAP NetWeaver";"Technology Platform";"No";"In customer-specific maintenance";"14.12.2012";"10.05.2013";"10.05.2013";"Ready";"";"31.12.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900005868";
"SAP ECC 6.0";"SAP ERP Central Component 6.0";"SAP ECC";"SAP ERP";"Enterprise Management";"No";"Unrestricted available";"";"24.10.2005";"06.06.2006";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001261";
"SAP S/4HANA 2020";"SAP S/4HANA 2020";"SAP S/4HANA";"SAP S/4HANA";"Enterprise Management";"No";"Unrestricted available";"";"07.10.2020";"07.10.2020";"Ready";"";"31.12.2025";"";"";"31.03.2028";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900003539";
"EHP6 FOR SAP ERP 6.0";"SAP enhancement package 6 for SAP ERP 6.0";"SAP ERP ENHANCE PACKAGE";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"24.08.2011";"08.11.2011";"07.05.2012";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900002457";
"SAP DATA SERVICES 4.3";"SAP Data Services 4.3";"SAP DATA SERVICES";"SAP Data Services";"Technology Platform";"No";"Unrestricted available";"";"29.04.2022";"29.04.2022";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900004771";
"SAP DATA SERVICES 2025";"SAP Data Services 2025";"SAP DATA SERVICES";"SAP Data Services";"Technology Platform";"No";"Unrestricted available";"";"27.06.2025";"27.06.2025";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007675";
"NW AS ABAP 7.52";"SAP NetWeaver Application Server for ABAP 7.52";"NW AS ABAP INNOVATION PACKAGE";"SAP NetWeaver";"Technology Platform";"No";"Unrestricted available";"";"11.09.2017";"11.09.2017";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001597";
"SBOP ANALYSIS MS OFFICE 2.8";"SAP Analysis for Microsoft Office 2.8";"SBOP ANALYSIS MS OFFICE";"SAP Analysis for Microsoft Office";"Technology Platform";"Yes";"Unrestricted available";"";"29.11.2019";"29.11.2019";"";"";"31.12.2029";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002918";
"SAP ACCESS CONTROL 12.0";"SAP Access Control 12.0";"SAP ACCESS CONTROL";"SAP Access Control";"Financial Management";"Yes";"Unrestricted available";"";"28.03.2018";"21.09.2018";"Ready";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002288";
"SAP ERP 6.0";"SAP ERP 6.0";"SAP ERP";"SAP ERP";"Enterprise Management";"No";"Unrestricted available";"";"24.10.2005";"06.06.2006";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001296";
"SAP S/4HANA 1909";"SAP S/4HANA 1909";"SAP S/4HANA";"SAP S/4HANA";"Enterprise Management";"No";"In extended maintenance";"";"20.09.2019";"20.09.2019";"Ready";"";"31.12.2024";"31.12.2025";"";"31.03.2028";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002474";
"SAP BW/4HANA 2.0";"SAP BW/4HANA 2.0";"SAP BW/4HANA";"SAP BW/4HANA";"Technology Platform";"No";"Unrestricted available";"";"25.02.2019";"25.02.2019";"Ready";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900003033";
"SAP S/4HANA FOUNDATION 2023";"SAP S/4HANA foundation 2023";"SAP S/4HANA FOUNDATION";"SAP S/4HANA";"Enterprise Management";"No";"Unrestricted available";"17.08.2023";"11.10.2023";"11.10.2023";"Ready";"";"31.12.2030";"";"";"31.03.2033";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900007081";
"SAP BPC 2021, FOR SAP BW/4HANA";"SAP Business Planning and Consolidation 2021, version for SAP BW/4HANA";"SAP BPC FOR SAP BW/4HANA";"SAP Business Planning and Consolidation";"Financial Management";"Yes";"Unrestricted available";"";"01.11.2021";"01.11.2021";"";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005481";
"EHP5 FOR SAP ERP 6.0";"SAP enhancement package 5 for SAP ERP 6.0";"SAP ERP ENHANCE PACKAGE";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"12.07.2010";"20.12.2010";"12.05.2011";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900003612";
"SAP AC 12.0 FOR SAP S/4HANA";"SAP Access Control 12.0 for SAP S/4HANA";"SAP ACCESS CONTROL FOR S/4HANA";"SAP Access Control";"Financial Management";"Yes";"Unrestricted available";"";"28.03.2018";"21.09.2018";"";"";"31.12.2027";"";"";"31.12.2030";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002372";
"SBOP BI PLATFORM 2027";"SAP BusinessObjects Business Intelligence platform 2027";"SBOP BI PLATFORM (ENTERPRISE)";"SAP BusinessObjects Business Intelligence";"Technology Platform";"No";"Not yet available";"";"Estimated for Q1/2027";"Estimated for Q1/2027";"Ready";"";"31.12.2029";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008808";
"SAP S/4HANA 1809";"SAP S/4HANA 1809";"SAP S/4HANA";"SAP S/4HANA";"Enterprise Management";"No";"In extended maintenance";"07.08.2018";"21.09.2018";"21.09.2018";"Ready";"";"31.12.2023";"31.12.2025";"";"31.03.2028";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001788";
"SAP BW/4HANA 2021";"SAP BW/4HANA 2021";"SAP BW/4HANA";"SAP BW/4HANA";"Technology Platform";"No";"Unrestricted available";"";"25.10.2021";"25.10.2021";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900004721";
"SBOP BI PLATFORM 4.2";"SAP BusinessObjects Business Intelligence platform 4.2";"SBOP BI PLATFORM (ENTERPRISE)";"SAP BusinessObjects Business Intelligence";"Technology Platform";"No";"Out of maintenance";"31.08.2015";"13.11.2015";"08.03.2016";"Ready";"";"31.12.2022";"";"31.12.2024";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000046";
"SAP BPC 11.1, FOR SAP BW/4HANA";"SAP Business Planning and Consolidation 11.1, version for SAP BW/4HANA";"SAP BPC FOR SAP BW/4HANA";"SAP Business Planning and Consolidation";"Financial Management";"Yes";"Unrestricted available";"";"20.05.2019";"20.05.2019";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900003601";
"SAP CLOUD CONNECTOR 2.0";"SAP Connectivity service 2.0";"SAP CLOUD CONNECTOR";"SAP Business Technology Platform";"Technology Platform";"No";"Restricted available  (productive use allowed)";"";"24.10.2013";"";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006624";
"SAP GTS 11.0";"SAP Global Trade Services 11.0";"SAP GLOBAL TRADE SERVICES";"SAP Global Trade Services";"Financial Management";"Yes";"Unrestricted available";"";"03.03.2015";"03.06.2015";"Ready";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900007309";
"SAP NETWEAVER 7.0";"SAP NetWeaver 7.0";"SAP NETWEAVER";"SAP NetWeaver";"Technology Platform";"No";"In customer-specific maintenance";"";"24.10.2005";"06.06.2006";"";"";"31.12.2017";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001250";
"SAP FIORI FOR SAP S/4HANA 2023";"SAP Fiori for SAP S/4HANA 2023";"SAP FIORI FOR SAP S/4HANA";"SAP Fiori";"Technology Platform";"Yes";"Unrestricted available";"17.08.2023";"11.10.2023";"11.10.2023";"";"";"31.12.2030";"";"";"31.03.2033";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006325";
"SAP S/4HANA 1709";"SAP S/4HANA 1709";"SAP S/4HANA";"SAP S/4HANA";"Enterprise Management";"No";"In extended maintenance";"";"15.09.2017";"15.09.2017";"Ready";"";"31.12.2022";"31.12.2025";"";"31.03.2028";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001152";
"SAP EWM 9.5";"SAP Extended Warehouse Management 9.5";"SAP EXTENDED WAREHOUSE MGMT.";"SAP Extended Warehouse Management";"Supply Chain Management";"Yes";"Unrestricted available";"";"30.11.2017";"30.11.2017";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001604";
"SAP NETWEAVER 7.3";"SAP NetWeaver 7.3";"SAP NETWEAVER";"SAP NetWeaver";"Technology Platform";"No";"In customer-specific maintenance";"20.04.2010";"29.11.2010";"30.05.2011";"";"";"31.12.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900002540";
"SAP EHP1 FOR SAP NETWEAVER 7.3";"SAP enhancement package 1 for SAP NetWeaver 7.3";"SAP NETWEAVER";"SAP NetWeaver";"Technology Platform";"No";"In customer-specific maintenance";"19.09.2011";"21.11.2011";"16.05.2012";"";"";"31.12.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900005175";
"SAP LT REPLICATION SERVER 3.0";"SAP Landscape Transformation replication server 3.0";"SAP LT REPLICATION SERVER";"SAP Landscape Transformation";"Technology Platform";"Yes";"Unrestricted available";"";"10.09.2018";"10.09.2018";"Ready";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900003054";
"SAP GTS, ED. FOR SAP HANA 2023";"SAP Global Trade Services, edition for SAP HANA 2023";"SAP GTS, EDITION FOR SAP HANA";"SAP Global Trade Services";"Financial Management";"Yes";"Unrestricted available";"";"09.06.2023";"09.06.2023";"";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006953";
"SAP DATA SERVICES 4.2";"SAP Data Services 4.2";"SAP DATA SERVICES";"SAP Data Services";"Technology Platform";"No";"Out of maintenance";"";"13.05.2013";"06.12.2013";"";"";"31.05.2023";"";"31.12.2024";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900005703";
"EHP4 FOR SAP ERP 6.0";"SAP enhancement package 4 for SAP ERP 6.0";"SAP ERP ENHANCE PACKAGE";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"21.11.2008";"05.05.2009";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900000463";
"SAP ASE 16.1";"SAP Adaptive Server Enterprise 16.1";"SAP ADAPTIVE SERVER ENTERPRISE";"SAP Adaptive Server Enterprise";"Technology Platform";"No";"Unrestricted available";"";"28.02.2025";"28.02.2025";"";"";"31.12.2032";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900004137";
"SAP PC 10.1 FOR SAP NW";"SAP Business Planning and Consolidation 10.1, version for SAP NetWeaver";"SAP BPC FOR SAP NETWEAVER";"SAP Business Planning and Consolidation";"Financial Management";"Yes";"Unrestricted available";"";"20.12.2013";"10.06.2014";"Ready";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008134";
"EHP4 FOR SAP SCM 7.0";"SAP enhancement package 4 for SAP Supply Chain Management 7.0";"SAP SCM ENHANCE PACKAGE";"SAP Supply Chain Management";"Supply Chain Management";"Yes";"Unrestricted available";"";"27.01.2016";"27.01.2016";"Ready";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000249";
"SAP ASE 16.0.4";"SAP Adaptive Server Enterprise 16.0.4";"SAP ADAPTIVE SERVER ENTERPRISE";"SAP Adaptive Server Enterprise";"Technology Platform";"No";"Unrestricted available";"";"19.01.2024";"19.01.2024";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008421";
"EHP4 FOR SAP CRM 7.0";"SAP enhancement package 4 for SAP CRM 7.0";"SAP CRM ENHANCE PACKAGE";"SAP Customer Relationship Management";"Customer Relationship Management";"Yes";"Unrestricted available";"";"20.01.2016";"20.01.2016";"Ready";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000272";
"SAP MII 15.5";"SAP Manufacturing Integration and Intelligence 15.5";"SAP MII";"SAP Digital Manufacturing";"Supply Chain Management";"Yes";"Unrestricted available";"";"26.11.2021";"26.11.2021";"Ready";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900003849";
"SAP S/4HANA PRIVATE CLOUD 2025";"SAP S/4HANA Cloud Private Edition 2025";"SAP S/4HANA PRIVATE CLOUD";"SAP S/4HANA Cloud";"Enterprise Management";"No";"Restricted available  (productive use not allowed)";"11.08.2025";"Estimated for Q4/2025";"Estimated for Q4/2025";"";"";"31.12.2032";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007664";
"SAP GRC ACCESS CONTROL 5.3";"SAP GRC Access Control 5.3";"SAP ACCESS CONTROL";"SAP Access Control";"Financial Management";"Yes";"In customer-specific maintenance";"";"26.03.2008";"23.09.2008";"";"";"31.12.2015";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001673";
"SAP FIORI FRONT-END SERVER 6.0";"SAP Fiori front-end server 6.0";"SAP FIORI FRONT-END SERVER";"SAP Fiori";"Technology Platform";"Yes";"Unrestricted available";"";"20.09.2019";"20.09.2019";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900003452";
"SAP CARAB 6.0";"SAP Customer Activity Repository applications bundle 6.0";"CAR RETAIL APPLICATIONS BUNDLE";"SAP Customer Activity Repository";"Customer Relationship Management";"Yes";"Unrestricted available";"";"16.08.2024";"16.08.2024";"Ready";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006812";
"SAP SCM 7.0";"SAP Supply Chain Management 7.0";"SAP SCM";"SAP Supply Chain Management";"Supply Chain Management";"No";"Unrestricted available";"";"21.11.2008";"04.05.2009";"Ready";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900000460";
"SAP FIORI FES 2023 FOR S/4HANA";"SAP Fiori front-end server 2023 for SAP S/4HANA";"SAP FIORI FES FOR S/4HANA";"SAP Fiori";"Technology Platform";"Yes";"Unrestricted available";"";"11.10.2023";"11.10.2023";"";"";"31.12.2030";"";"";"31.03.2033";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900007641";
"SAP HANA SDI 2.0";"SAP HANA smart data integration 2.0";"SAP HANA SDI";"SAP HANA";"Technology Platform";"Yes";"Unrestricted available";"";"07.12.2016";"07.12.2016";"";"";"30.11.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001404";
"SAP S/4HANA PRIVATE CLOUD 2023";"SAP S/4HANA Cloud Private Edition 2023";"SAP S/4HANA PRIVATE CLOUD";"SAP S/4HANA Cloud";"Enterprise Management";"No";"Unrestricted available";"";"08.10.2024";"08.10.2024";"";"";"31.12.2030";"";"";"31.03.2033";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007701";
"SAP ASE 16.0";"SAP Adaptive Server Enterprise 16.0";"SAP ADAPTIVE SERVER ENTERPRISE";"SAP Adaptive Server Enterprise";"Technology Platform";"No";"Unrestricted available";"06.12.2013";"14.03.2014";"14.03.2014";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900007308";
"SAP S/4HANA FOUNDATION 2025";"SAP S/4HANA foundation 2025";"SAP S/4HANA FOUNDATION";"SAP S/4HANA";"Enterprise Management";"No";"Restricted available  (productive use not allowed)";"11.08.2025";"Estimated for Q4/2025";"Estimated for Q4/2025";"Ready";"";"31.12.2032";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007141";
"SAP CLOUD INT - DATA SERVICES";"SAP Cloud Integration for data services 1.0";"SAP CLOUD INT - DATA SERVICES";"SAP Integration Suite";"Technology Platform";"No";"Unrestricted available";"09.11.2012";"31.12.2012";"31.12.2012";"Ready";"09.11.2012";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900005933";
"SAP LT REPLICATION SERVER 2.0";"SAP Landscape Transformation replication server 2.0";"SAP LT REPLICATION SERVER";"SAP Landscape Transformation";"Technology Platform";"Yes";"Unrestricted available";"02.09.2011";"04.11.2011";"21.02.2012";"Ready";"02.09.2011";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006474";
"SAP LTRS FOR SAP S/4HANA 1.0";"SAP Landscape Transformation Replication Server for SAP S/4HANA 1.0";"SAP LTRS FOR SAP S/4HANA";"SAP Landscape Transformation";"Technology Platform";"Yes";"Unrestricted available";"";"07.10.2020";"07.10.2020";"Ready";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900004975";
"SAP EHP3 FOR SAP NETWEAVER 7.0";"SAP enhancement package 3 for SAP NetWeaver 7.0";"SAP NETWEAVER";"SAP NetWeaver";"Technology Platform";"No";"In customer-specific maintenance";"";"08.11.2011";"07.05.2012";"";"";"31.12.2017";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900002470";
"ANALYSISOFFICE_FOR_SAC 2.8";"SAP Analysis for Microsoft Office 2.8, edition for SAP Analytics Cloud";"ANALYSISOFFICE_FOR_SAC";"SAP Analysis for Microsoft Office";"Technology Platform";"No";"Unrestricted available";"";"29.11.2019";"29.11.2019";"";"";"31.12.2029";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002903";
"SAP NETWEAVER PI 7.1";"SAP NetWeaver Process Integration 7.1";"SAP NETWEAVER PI 7.1X";"SAP NetWeaver";"Technology Platform";"No";"In customer-specific maintenance";"06.06.2007";"14.12.2007";"25.07.2008";"";"";"31.12.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001495";
"SAP S/4HANA 1610";"SAP S/4HANA 1610";"SAP S/4HANA";"SAP S/4HANA";"Enterprise Management";"No";"In customer-specific maintenance";"";"31.10.2016";"31.10.2016";"Ready";"";"31.12.2021";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000627";
"SAP GTS, ED. FOR SAP HANA 2025";"SAP Global Trade Services, edition for SAP HANA 2025";"SAP GTS, EDITION FOR SAP HANA";"SAP Global Trade Services";"Financial Management";"Yes";"Not yet available";"";"Estimated for Q4/2025";"";"";"";"31.12.2032";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007582";
"FOCUSED RUN 5.0";"SAP Focused Run 5.0";"FOCUSED RUN";"SAP Solution Manager";"Technology Platform";"Yes";"Unrestricted available";"";"25.11.2024";"25.11.2024";"";"";"26.11.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900007432";
"SAP EHP2 FOR SAP NETWEAVER 7.0";"SAP enhancement package 2 for SAP NetWeaver 7.0";"SAP NETWEAVER";"SAP NetWeaver";"Technology Platform";"No";"In customer-specific maintenance";"19.05.2009";"19.04.2010";"26.11.2010";"";"";"31.12.2017";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900003225";
"SAP CARAB 5.0";"SAP Customer Activity Repository applications bundle 5.0";"CAR RETAIL APPLICATIONS BUNDLE";"SAP Customer Activity Repository";"Customer Relationship Management";"Yes";"Unrestricted available";"22.11.2020";"04.12.2020";"04.12.2020";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900004532";
"SYBASE IQ 16.1";"SAP IQ 16.1";"SYBASE IQ";"SAP IQ";"Technology Platform";"No";"Unrestricted available";"";"12.04.2017";"12.04.2017";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001829";
"SAP ECTR 1.3 FOR SAP S/4HANA";"SAP Engineering Control Center 1.3 for SAP S/4HANA";"SAP ECTR FOR SAP S/4HANA";"SAP Engineering Control Center";"Product Lifecycle Management";"Yes";"Restricted available  (productive use allowed)";"";"17.07.2025";"";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900008034";
"EHP4 FOR SAP ERP 6.0 / NW7.01";"SAP enhancement package 4 for SAP ERP 6.0 on SAP enhancement package for SAP NetWeaver 7.0";"SAP ERP ENHANCE PACKAGE";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"21.11.2008";"05.05.2009";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900003195";
"SAP EWM 9.4";"SAP Extended Warehouse Management 9.4";"SAP EXTENDED WAREHOUSE MGMT.";"SAP Extended Warehouse Management";"Supply Chain Management";"Yes";"Unrestricted available";"";"12.05.2016";"12.05.2016";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000386";
"SAP LUMIRA DESIGNER 2025";"SAP Lumira Designer 2025";"SAP LUMIRA";"SAP Lumira";"Technology Platform";"No";"Not yet available";"";"Estimated for Q3/2025";"";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008804";
"SAP LUMIRA SERVER 2.4";"SAP Lumira 2.4, server edition";"SAP LUMIRA SERVER";"SAP Lumira";"Technology Platform";"Yes";"Unrestricted available";"";"11.08.2020";"11.08.2020";"";"";"31.12.2025";"";"31.12.2026";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900004229";
